nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Argento Rosé,,Bodega Argento S.A,2020,12.5,3000.0,199.0,Argentina,Cuyo,Mendoza,Rosévin,Fruktigt & Smakrikt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött, eller till sallader.","Ungdomlig, fruktig smak med inslag av persika, blodapelsin, örter och röda vinbär.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/argento-rosé-256408,https://product-cdn.systembolaget.se/productimages/24502479/24502479,Malbec---Syrah---Pinot grigio
Castillo Monjardin,Navarra Crianza,Castillo de Monjardin,2017,14.0,750.0,119.0,Spanien,Navarra,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Kryddig, fruktig smak med fatkaraktär, inslag av mörka körsbär, choklad, svarta vinbär, örter, plommon och kaffe.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/castillo-monjardin-203101,https://product-cdn.systembolaget.se/productimages/24478615/24478615,Tempranillo---Cabernet sauvignon---Merlot
Gemtree,Organic Shiraz,Gemtree Vineyards,2020,14.5,750.0,119.0,Australien,South Australia,Fleurieu,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- och nötkött.,"Fruktig, nyanserad smak med fatkaraktär, inslag av björnbär, viol, blåbär, svartpeppar, choklad, plommon, lakrits och vanilj.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/gemtree-2003301,https://product-cdn.systembolaget.se/productimages/24532865/24532865,Shiraz
Sauska,Tokaji Furmint,Sauska és Társa Kft.,2019,13.0,750.0,119.0,Ungern,Tokaj,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk eller skaldjur, eller till sallader.","Fruktig, mycket frisk smak med inslag av gula äpplen, mango, honung, mineral, persika och citrus.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/sauska-205501,https://product-cdn.systembolaget.se/productimages/24513134/24513134,Furmint
SAAM,Pinotage,Saam Mountain Vineyards,2020,14.5,750.0,89.0,Sydafrika,Western Cape,Coastal Region,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- och nötkött.,"Ungdomlig, mycket fruktig smak med fatkaraktär, inslag av plommon, viol, björnbär, lakrits, körsbär och vanilj.",0.0%,0.0%,75.0%,75.0%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/saam-222001,https://product-cdn.systembolaget.se/productimages/24548290/24548290,Pinotage
Fiore,Sauvignon Blanc,Matetic Wine Group,2020,13.5,750.0,99.0,Chile,Aconcagua,San Antonio,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Aromatisk, ungdomlig, mycket frisk smak med inslag av passionsfrukt, svartvinbärsblad, vita vinbär, nässlor och citron.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/fiore-2003401,https://product-cdn.systembolaget.se/productimages/24536864/24536864,Sauvignon blanc
Mazet de Nizas,,Domaine de Nizas,2019,14.0,2000.0,229.0,Frankrike,Languedoc-Roussillon,Languedoc,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Fruktigt, smakrikt vin med inslag av fat, björnbär, lagerblad, plommon, svartpeppar, hallon och lakrits.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/mazet-de-nizas-560207,,Mourvèdre---Grenache---Syrah
Ricossa,Vistamonte Barbera Organic,Cuvage Srl,2019,13.5,750.0,99.0,Italien,Piemonte,,Rött vin,Fruktigt & Smakrikt,"Serveras vid cirka 16°C till rätter av ljust kött, eller till vegetariska rätter.","Fruktig, ungdomlig smak med inslag av fat, körsbär, skogshallon, färska örter och viol.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/ricossa-201301,https://product-cdn.systembolaget.se/productimages/24474926/24474926,Barbera
Perlage,Terra Viva Bio,Perlage,2019,12.0,750.0,95.0,Italien,Tre Venezie,Delle Venezie,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till vegetariska rätter, eller till rätter av fisk och skaldjur.","Fruktig, mycket frisk smak med inslag av päron, ananas, persika, färska örter och lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/perlage-630501,https://product-cdn.systembolaget.se/productimages/24500613/24500613,Pinot grigio---Sauvignon blanc
Viña Bujanda,Gran Reserva,Viña Bujanda,2012,13.5,750.0,249.0,Spanien,Rioja,,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till rätter av lamm- och nötkött.,"Komplex, utvecklad, kryddig smak med fatkaraktär, inslag av plommon, tobak, mörka körsbär, kanel, choklad, pomerans och vanilj.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/viña-bujanda-222101,https://product-cdn.systembolaget.se/productimages/24548436/24548436,Tempranillo
Gaia,White Blend,Domaine Bousquet,2020,13.5,750.0,119.0,Argentina,Cuyo,Mendoza,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk eller ljust kött, eller till vegetariska rätter.","Fruktig, ungdomlig smak med inslag av fat, gröna äpplen, galiamelon, päron, örter och mandarin.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/gaia-223801,https://product-cdn.systembolaget.se/productimages/24531854/24531854,Chardonnay---Pinot gris---Sauvignon blanc
Urlar,Pinot Noir,Urlar Estate,2018,13.0,750.0,149.0,Nya Zeeland,Wairarapa,,Rött vin,Mjukt & Bärigt,Serveras vid cirka 16°C till rätter av ljust kött eller stekt fisk.,"Bärig, nyanserad smak med inslag av fat, hallon, körsbär, färska örter, blodapelsin, kryddor och choklad.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/urlar-213801,https://product-cdn.systembolaget.se/productimages/24463392/24463392,Pinot noir
Louco,,ANTÓNIO JOSÉ SARAMAGO - UNIPESSOAL,2019,13.0,750.0,79.0,Portugal,Península de Setúbal,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk och skaldjur.,"Fruktig smak med inslag av gula äpplen, vita blommor, honungsmelon, aprikos och citrus.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/louco-228401,https://product-cdn.systembolaget.se/productimages/24551826/24551826,Loureiro---Antão vaz---Verdelho---Arinto
Casa Ferreirinha,Vinha Grande,Sogrape Vinhos,2018,14.0,750.0,139.0,Portugal,Douro,,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, plommon, kakao, kryddor, viol och örter.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/casa-ferreirinha-275201,https://product-cdn.systembolaget.se/productimages/24517348/24517348,Touriga franca---Tinta roriz---Touriga nacional---Tinta barroca
Demorgenzon Dmz,Chardonnay,Demorgenzon,2019,14.0,750.0,129.0,Sydafrika,Western Cape,Coastal Region,Vitt vin,Fylligt & Smakrikt,Serveras vid 10-12°C till rätter av fisk eller ljust kött.,"Fruktig smak med fatkaraktär, inslag av mango, gula äpplen, marsipan, örter och citrus.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/demorgenzon-dmz-274201,https://product-cdn.systembolaget.se/productimages/24500941/24500941,Chardonnay
Vernissage,,Jidvei,,12.5,750.0,89.0,Rumänien,,,Mousserande vin,,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Fruktig, mycket frisk smak med inslag av päron, gröna äpplen, örter, kex, persika och citrus.",0.0%,16.666666666666664%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/vernissage-795001,,Pinot noir---Chardonnay---Feteasca regala
Château Arnauton,,Château Plain Point,2016,14.5,750.0,148.0,Frankrike,Bordeaux,Fronsac,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med inslag av plommon, kakao, svarta vinbär, ceder, korinter, kryddor och vanilj.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/château-arnauton-312201,https://product-cdn.systembolaget.se/productimages/24519004/24519004,Merlot---Cabernet franc---Cabernet sauvignon---Carmenère---Malbec
Ringbolt,Cabernet Sauvignon,Ringbolt,2018,14.0,750.0,149.0,Australien,Western Australia,South West Australia,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till grillade rätter av lamm- eller nötkött.,"Fruktig, balanserad smak med fatkaraktär, inslag av svarta vinbär, plommon, mörk choklad, ceder, vanilj och örter.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/ringbolt-627801,https://product-cdn.systembolaget.se/productimages/24494904/24494904,Cabernet sauvignon
Chacabuco,Natural Sweet Chenin Blanc,Bodega Los Haroldos,2020,7.5,750.0,89.0,Argentina,Cuyo,Mendoza,Vitt vin,Sött,Serveras vid 8.10°C till frukt- och bärdesserter.,"Fruktig, söt smak med inslag av päron, vit persika, örter och limeblommor.",0.0%,75.0%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/chacabuco-211801,https://product-cdn.systembolaget.se/productimages/24502483/24502483,Chenin blanc
Christine-Marié,Blanc de Blanc Brut,Niel Joubert Wines,2016,11.5,750.0,159.0,Sydafrika,Western Cape,Coastal Region,Mousserande vin,Torrt vitt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fågel, fisk eller skaldjur.","Nyanserad, utvecklad, mycket frisk smak med inslag av gula äpplen, honung, kex, nötter och apelsin.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/christine-marié-770701,https://product-cdn.systembolaget.se/productimages/24501050/24501050,Chardonnay
