name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Perlage, Perlage",Perlage,2019,12.0,750.0,95.0,Italien,Tre Venezie,Delle Venezie,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till vegetariska rätter, eller till rätter av fisk och skaldjur.","Fruktig, mycket frisk smak med inslag av päron, ananas, persika, färska örter och lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/perlage-630501,https://product-cdn.systembolaget.se/productimages/24500613/24500613,Pinot grigio---Sauvignon blanc
"Ricossa, Ricossa",Cuvage Srl,2019,13.5,750.0,99.0,Italien,Piemonte,,Rött vin,Fruktigt & Smakrikt,"Serveras vid cirka 16°C till rätter av ljust kött, eller till vegetariska rätter.","Fruktig, ungdomlig smak med inslag av fat, körsbär, skogshallon, färska örter och viol.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/ricossa-201301,https://product-cdn.systembolaget.se/productimages/24474926/24474926,Barbera
"Urlar, Urlar",Urlar Estate,2018,13.0,750.0,149.0,Nya Zeeland,Wairarapa,,Rött vin,Mjukt & Bärigt,Serveras vid cirka 16°C till rätter av ljust kött eller stekt fisk.,"Bärig, nyanserad smak med inslag av fat, hallon, körsbär, färska örter, blodapelsin, kryddor och choklad.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/urlar-213801,https://product-cdn.systembolaget.se/productimages/24463392/24463392,Pinot noir
"Casa Ferreirinha, Casa Ferreirinha",Sogrape Vinhos,2018,14.0,750.0,139.0,Portugal,Douro,,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, plommon, kakao, kryddor, viol och örter.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/casa-ferreirinha-275201,https://product-cdn.systembolaget.se/productimages/24517348/24517348,Touriga franca---Tinta roriz---Touriga nacional---Tinta barroca
"Ringbolt, Ringbolt",Ringbolt,2018,14.0,750.0,149.0,Australien,Western Australia,South West Australia,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till grillade rätter av lamm- eller nötkött.,"Fruktig, balanserad smak med fatkaraktär, inslag av svarta vinbär, plommon, mörk choklad, ceder, vanilj och örter.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/ringbolt-627801,https://product-cdn.systembolaget.se/productimages/24494904/24494904,Cabernet sauvignon
"Demorgenzon Dmz, Demorgenzon Dmz",Demorgenzon,2019,14.0,750.0,129.0,Sydafrika,Western Cape,Coastal Region,Vitt vin,Fylligt & Smakrikt,Serveras vid 10-12°C till rätter av fisk eller ljust kött.,"Fruktig smak med fatkaraktär, inslag av mango, gula äpplen, marsipan, örter och citrus.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/demorgenzon-dmz-274201,https://product-cdn.systembolaget.se/productimages/24500941/24500941,Chardonnay
"Chacabuco, Chacabuco",Bodega Los Haroldos,2020,7.5,750.0,89.0,Argentina,Cuyo,Mendoza,Vitt vin,Sött,Serveras vid 8.10°C till frukt- och bärdesserter.,"Fruktig, söt smak med inslag av päron, vit persika, örter och limeblommor.",0.0%,75.0%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/chacabuco-211801,https://product-cdn.systembolaget.se/productimages/24502483/24502483,Chenin blanc
"Château Arnauton, Château Arnauton",Château Plain Point,2016,14.5,750.0,148.0,Frankrike,Bordeaux,Fronsac,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med inslag av plommon, kakao, svarta vinbär, ceder, korinter, kryddor och vanilj.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/château-arnauton-312201,https://product-cdn.systembolaget.se/productimages/24519004/24519004,Merlot---Cabernet franc---Cabernet sauvignon---Carmenère---Malbec
"Christine-Marié, Christine-Marié",Niel Joubert Wines,2016,11.5,750.0,159.0,Sydafrika,Western Cape,Coastal Region,Mousserande vin,Torrt vitt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fågel, fisk eller skaldjur.","Nyanserad, utvecklad, mycket frisk smak med inslag av gula äpplen, honung, kex, nötter och apelsin.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/christine-marié-770701,https://product-cdn.systembolaget.se/productimages/24501050/24501050,Chardonnay
"Château de la Liquière Faugères, Château de la Liquière Faugères",Château de la Liquière famille Vidal Dumoulin,2019,14.5,750.0,169.0,Frankrike,Languedoc-Roussillon,Coteaux du Languedoc,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Kryddigt, smakrikt vin med inslag av mörka körsbär, viol, peppar, lagerblad, skogshallon och lakritsrot.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/château-de-la-liquière-faugères-353101,https://product-cdn.systembolaget.se/productimages/24518415/24518415,Grenache---Syrah---Carignan
"Bocanegra Monastrell, Bocanegra Monastrell",Bodegas Francisco Gomez,2019,13.0,750.0,85.0,Spanien,Valencia,Alicante,Rött vin,Mjukt & Bärigt,"Serveras vid cirka 16°C till rätter av ljust kött, gärna kallskuret eller till vegetariska rätter.","Bärig smak med inslag av skogshallon, färska örter, körsbär, lakrits och blodapelsin.",0.0%,0.0%,83.33333333333334%,50.0%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/bocanegra-monastrell-279801,https://product-cdn.systembolaget.se/productimages/24495792/24495792,Monastrell
"Champagne de Saint-Gall, Champagne de Saint-Gall",Union Champagne,,12.5,750.0,500.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,"Serveras vid 8-10°C som aperitif eller till rätter av ljust kött, eller till smakrika rätter av fisk.","Komplex, utvecklad, mycket frisk smak med inslag av nougat, rostat bröd, äpplen,  persika, vit choklad och pomerans.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/champagne-de-saint-gall-794801,https://product-cdn.systembolaget.se/productimages/24515358/24515358,Chardonnay
"The Dalmatian Dog, The Dalmatian Dog",Black Island Winery D.O.O,2018,14.5,750.0,120.0,Kroatien,Primorska,Sjeverna Dalmacija,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Kryddig, fruktig smak med fatkaraktär, inslag av körsbär, svartpeppar, skogshallon, timjan, blåbär och lakrits.",0.0%,0.0%,83.33333333333334%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/the-dalmatian-dog-209701,https://product-cdn.systembolaget.se/productimages/24494094/24494094,Babic
"Spindler, Spindler",Weingut Heinrich Spindler,2018,13.0,750.0,149.0,Tyskland,Pfalz,,Rött vin,Kryddigt & Mustigt,"Serveras vid cirka 16°C till rätter av stekt fisk, eller till rätter av ljust kött.","Kryddig, nyanserad smak med fatkaraktär, inslag av körsbär, mineral, jordgubbar, sandelträ, lingon och choklad.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/spindler-534101,https://product-cdn.systembolaget.se/productimages/24496452/24496452,Pinot noir
"Marquis de Beys Red, Marquis de Beys Red",Domaine des Tourelles,2016,14.0,750.0,199.0,Libanon,Bekaa,,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, något utvecklad, fruktig smak med fatkaraktär, inslag av plommon, kaffe, björnbär, svarta vinbär, tobak, kakao, peppar och vanilj.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/marquis-de-beys-red-2232501,https://product-cdn.systembolaget.se/productimages/24516816/24516816,Cabernet sauvignon---Syrah
"Mariposa, Mariposa",Quinta da Mariposa,2018,13.5,750.0,159.0,Portugal,Dão,,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Fruktig, balanserad smak med inslag av fat, plommon, björnbär, viol, skogshallon, lagerblad, svartpeppar och örter.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/mariposa-200201,https://product-cdn.systembolaget.se/productimages/24519764/24519764,Touriga nacional
"Origen Gran Reserva, Origen Gran Reserva",Viña Chocalán,2018,14.5,750.0,159.0,Chile,Valle Central,Maipo,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, ceder, kryddor, plommon, timjan, kaffe och choklad.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/origen-gran-reserva-234401,https://product-cdn.systembolaget.se/productimages/24500892/24500892,Cabernet sauvignon---Merlot---Carmenère---Cabernet franc---Malbec
"Oxford Landing, Oxford Landing",Oxford Landing Estates,2020,12.5,750.0,99.0,Australien,South Australia,Lower Murray,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk eller skaldjur, eller till sallader.","Mycket fruktig smak med inslag av fat, päron, honungsmelon, persika, örter och citrus.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/oxford-landing-572001,https://product-cdn.systembolaget.se/productimages/24500430/24500430,Chardonnay
"Portacomaro, Portacomaro",Produttori di Govone,2018,14.5,750.0,149.0,Italien,Piemonte,Ruchè di Castagnole Monferrato,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Nyanserad, fruktig, något kryddig smak med inslag av körsbär, viol, björnbär, peppar, rökig mineral och mogna jordgubbar.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/portacomaro-252701,https://product-cdn.systembolaget.se/productimages/24474151/24474151,Ruché
"Amazone de Palmer, Amazone de Palmer",Palmer & Co,,12.0,750.0,1099.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,"Serveras vid 8-10°C som aperitif, till rätter av fisk och skaldjur, eller till lättare rätter av ljust kött.","Komplex, något utvecklad, mycket frisk smak med inslag av gula äpplen, rostat bröd, honung, nötter, vit choklad, mineral och grapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/amazone-de-palmer-794701,https://product-cdn.systembolaget.se/productimages/24515161/24515161,Chardonnay---Pinot noir
"Fontanafredda Alta Langa, Fontanafredda Alta Langa",Fontanafredda,2016,12.5,750.0,169.0,Italien,Piemonte,Alta Langa,Mousserande vin,Torrt vitt,"Serveras vid 8-10°C som aperitif, eller till rätter av fisk och skaldjur.","Fruktig, mycket frisk smak med inslag av äpplen, nötter, gula päron, kex och citrusskal.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/fontanafredda-alta-langa-794901,https://product-cdn.systembolaget.se/productimages/24516383/24516383,Pinot nero---Chardonnay
"Te Mata Cape Crest, Te Mata Cape Crest",Te Mata Estate,2019,13.5,750.0,199.0,Nya Zeeland,Hawke's Bay,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk och kyckling, eller till vegetariska rätter.","Fruktig, något aromatisk, mycket frisk smak med inslag av fat, passionsfrukt, svartvinbärsblad, nektarin, mineral, kryddor och lime.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/te-mata-cape-crest-657001,https://product-cdn.systembolaget.se/productimages/24500886/24500886,Sauvignon blanc---Semillon---Sauvignon gris
"Altura, Altura",Bodega Norton,2019,14.0,750.0,149.0,Argentina,Cuyo,Mendoza,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk eller ljust kött, eller till smakrika vegetariska rätter.","Nyanserad, aromatisk, mycket frisk smak med inslag av gula äpplen, bivax, rökig mineral, persika, päron, krusbär och citrus.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/altura-249201,https://product-cdn.systembolaget.se/productimages/24500918/24500918,Sémillon
"Pesquera Millenium, Pesquera Millenium",Fernández Rivera,2009,14.5,750.0,349.0,Spanien,Kastilien-León,Ribera del Duero,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Komplex, något utvecklad, kryddig smak med fatkaraktär, inslag av korinter, mörk choklad, plommon, ceder, tobak, körsbär och nötter.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/pesquera-millenium-281201,https://product-cdn.systembolaget.se/productimages/24518971/24518971,Tempranillo
"Gamlitz, Gamlitz",Weingut Lackner-Tinnacher,2019,12.5,750.0,149.0,Österrike,Steiermark,Südsteiermark,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C som aperitif eller till rätter av fisk eller skaldjur, eller till sallader, eller till syrliga getostar.","Fruktig, aromatisk, mycket frisk smak med inslag av krusbär, svartvinbärsblad, persika, mineral, päron, citrus och örter.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/gamlitz-468101,https://product-cdn.systembolaget.se/productimages/24518949/24518949,Sauvignon blanc
"Emblem, Emblem",Michael Mondavi Family Estate,2016,15.0,750.0,369.0,USA,Kalifornien,North Coast,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Komplex, fruktig smak med tydlig fatkaraktär, inslag av svarta vinbär, kakao, plommon, kryddor, fikon, tobak, kaffe och vanilj.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/emblem-269401,https://product-cdn.systembolaget.se/productimages/24494041/24494041,Cabernet sauvignon---Petit verdot---Petite sirah
"Paolo Scavino, Paolo Scavino",Paolo Scavino,2014,14.0,750.0,649.0,Italien,Piemonte,Barolo,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Komplex, kryddig smak med fatkaraktär, inslag av nypon, rosor, kanel, persika, svart te, nougat och mogna jordgubbar.",0.0%,0.0%,91.66666666666666%,75.0%,91.66666666666666%,https://www.systembolaget.se/produkt/vin/paolo-scavino-244001,https://product-cdn.systembolaget.se/productimages/24516384/24516384,Nebbiolo
"Leth, Leth",Weingut Leth,2019,12.5,750.0,89.0,Österrike,Niederösterreich,Wagram,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk, skaldjur eller kyckling.","Fruktig smak med inslag av päron, galiamelon, vitpeppar, persika och citrus.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/leth-420001,https://product-cdn.systembolaget.se/productimages/240940/240940,Grüner veltliner
"Piemonte, Piemonte",San Silvestro,2019,13.5,750.0,119.0,Italien,Piemonte,,Rött vin,Mjukt & Bärigt,"Serveras vid cirka 16°C till vegetariska rätter, eller till rätter av stekt fisk eller ljust kött.","Bärig smak med inslag av skogshallon, blåbär, färska örter och viol.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/piemonte-7278201,https://product-cdn.systembolaget.se/productimages/1037974/1037974,Barbera
"Ruppertsberger Hofstück, Ruppertsberger Hofstück",Ruppertsberger Weinkeller Hoheburg eG,2019,11.5,750.0,75.0,Tyskland,Pfalz,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till kryddstarka fisk- och skaldjursrätter, gärna med asiatiska inslag.","Fruktig smak med sötma, inslag av päron, ananas, honungsmelon och citrus.",0.0%,50.0%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/ruppertsberger-hofstück-591401,https://product-cdn.systembolaget.se/productimages/10703/10703,Riesling
"Lindemans Bin 65, Lindemans Bin 65",Lindemans,2019,13.5,375.0,47.0,Australien,South Eastern Australia,,Vitt vin,Fylligt & Smakrikt,Serveras vid cirka 8°C till fiskrätter eller ljust kött.,"Mycket fruktig smak med inslag av fat, gula äpplen, ananas, päron, citrus och vanilj.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/lindemans-bin-65-210602,https://product-cdn.systembolaget.se/productimages/1433/1433,Chardonnay
"Bouchard Aîné, Bouchard Aîné",Bouchard Aîné et Fils,2019,12.5,750.0,89.0,Frankrike,,,Rött vin,Mjukt & Bärigt,Serveras vid cirka 16°C till rätter av feta eller vilda fåglar samt till lättare rätter av fläsk- eller lammkött.,"Bärig, något kryddig smak med fatkaraktär, inslag av jordgubbar, hallon, färska örter, lingon och vanilj.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/bouchard-aîné-8253101,https://product-cdn.systembolaget.se/productimages/229748/229748,Pinot noir
"Mateus, Mateus",Sogrape,,11.0,375.0,38.0,Portugal,,,Rosévin,Fruktigt & Smakrikt,"Serveras vid cirka 8°C som sällskapsdryck, eller till sallader.","Fruktig, pärlande smak med inslag av geléhallon, persika och blodapelsin.",0.0%,16.666666666666664%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/mateus-257102,https://product-cdn.systembolaget.se/productimages/1866/1866,
"Casal Garcia, Casal Garcia",Aveleda,,8.5,750.0,59.0,Portugal,Vinho Verde,,Vitt vin,Friskt & Fruktigt,Serveras vid 6-8°C som sällskapsvin.,"Ungdomlig, pärlande smak med inslag av honungsmelon, gröna äpplen och citrus.",0.0%,8.333333333333332%,75.0%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/casal-garcia-259601,https://product-cdn.systembolaget.se/productimages/1890/1890,Loureiro---Azal---Trajadura---Arinto
"Lindemans Bin 65, Lindemans Bin 65",Lindemans,2019,13.5,375.0,47.0,Australien,South Eastern Australia,,Vitt vin,Fylligt & Smakrikt,Serveras vid cirka 8°C till fiskrätter eller ljust kött.,"Mycket fruktig smak med inslag av fat, gula äpplen, ananas, päron, citrus och vanilj.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/lindemans-bin-65-210602,https://product-cdn.systembolaget.se/productimages/1433/1433,Chardonnay
"Leth, Leth",Weingut Leth,2019,12.5,750.0,89.0,Österrike,Niederösterreich,Wagram,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk, skaldjur eller kyckling.","Fruktig smak med inslag av päron, galiamelon, vitpeppar, persika och citrus.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/leth-420001,https://product-cdn.systembolaget.se/productimages/240940/240940,Grüner veltliner
"Epicuro, Epicuro",Femar Vini,2019,15.0,750.0,89.0,Italien,Apulien,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- eller nötkött.,"Mycket fruktig smak med fatkaraktär, inslag av mörka körsbär, choklad, plommon och vanilj.",0.0%,0.0%,75.0%,66.66666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/epicuro-232601,https://product-cdn.systembolaget.se/productimages/728854/728854,Zinfandel
"Tommasi Graticcio Appassionato, Tommasi Graticcio Appassionato",Tommasi Viticoltori,2018,13.0,375.0,59.0,Italien,,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Kryddig smak med inslag av fat, körsbär, kanel, hallon och kryddnejlika.",0.0%,0.0%,75.0%,58.333333333333336%,50.0%,https://www.systembolaget.se/produkt/vin/tommasi-graticcio-appassionato-535402,https://product-cdn.systembolaget.se/productimages/793373/793373,Corvina veronese---Merlot---Rondinella
"Gato Negro, Gato Negro",Viña San Pedro,2020,13.0,750.0,64.0,Chile,Valle Central,,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 16°C till rätter av ljust kött.,"Mycket fruktig, ungdomlig smak med inslag av fat, svarta vinbär, skogshallon och vanilj.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/gato-negro-756401,https://product-cdn.systembolaget.se/productimages/8015/8015,Cabernet sauvignon
