name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Solybiza, Solybiza",Bodegas Sanviver,,7.0,750.0,79.0,Spanien,,,Aperitif & Dessert,Smaksatta viner & fruktviner,Serveras med is som sällskapsdryck.,"Kryddig, söt smak med inslag av blodapelsin, kanel, kryddnejlika, kardemumma och hallon.",0.0%,66.66666666666666%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/solybiza-793001,https://product-cdn.systembolaget.se/productimages/10285593/10285593,
"Pinta Negra, Pinta Negra",AdegaMãe Sociedade Agrícola Lda,2019,12.5,750.0,79.0,Portugal,Lisboa,,Rosévin,Friskt & Bärigt,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk, sallader eller till kyckling.","Bärig, ungdomlig, mycket frisk smak med inslag av röda vinbär, lavendel, rabarber, smultron och blodgrapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/pinta-negra-466701,https://product-cdn.systembolaget.se/productimages/21100134/21100134,Aragonez---Castelão
"Winemaker's Lot, Winemaker's Lot",Concha y Toro,2019,12.5,750.0,69.0,Chile,Valle Central,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk eller kyckling.,"Fruktig smak med inslag av fat, gula äpplen, bivax, persika, örter och citron.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/winemaker's-lot-690401,https://product-cdn.systembolaget.se/productimages/1113385/1113385,Chardonnay
"Monti Garbi, Monti Garbi",Tenuta Sant' Antonio,2018,14.0,375.0,72.0,Italien,Venetien,Valpolicella,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Kryddig, utvecklad smak med inslag av fat, mörka körsbär, kryddnejlika, nougat, vanilj och kanel.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/monti-garbi-532802,https://product-cdn.systembolaget.se/productimages/601657/601657,Corvina---Rondinella---Oseleta
"Marques de Alcantara, Marques de Alcantara",Alcantara Agricola,,11.0,750.0,69.0,Spanien,,,Blå stilla,Friskt & Fruktigt,Serveras vid cirka 8°C som sällskapsdryck.,"Fruktig smak med inslag av persika, vingummi och päron.",0.0%,16.666666666666664%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/marques-de-alcantara-7689301,https://product-cdn.systembolaget.se/productimages/1177002/1177002,
"Enzo Bartoli, Enzo Bartoli",MGM S.r.l.,2019,12.0,750.0,119.0,Italien,Piemonte,,Rosévin,Friskt & Bärigt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller kyckling, eller till sallader.","Bärig, mycket frisk smak med inslag av röda vinbär, vattenmelon, rosor, färska örter och blodgrapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/enzo-bartoli-7794001,https://product-cdn.systembolaget.se/productimages/10751499/10751499,
"Buena Vista, Buena Vista",Buena Vista Winery,2017,14.5,750.0,209.0,USA,Kalifornien,North Coast,Rött vin,Kryddigt & Mustigt,"Serveras vid cirka 16°C till rätter av fläsk-, eller lammkött.","Nyanserad, kryddig smak med rostad fatkaraktär, inslag av jordgubbar, mynta, körsbär, choklad, kanel, kaffe och vanilj.",0.0%,0.0%,75.0%,50.0%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/buena-vista-638001,https://product-cdn.systembolaget.se/productimages/807231/807231,Pinot noir
"Amarone della Valpolicella Classico, Amarone della Valpolicella Classico",Luigi Righetti,2016,15.0,375.0,99.0,Italien,Venetien,Valpolicella,Rött vin,Kryddigt & Mustigt,"Serveras vid cirka 18°C till rätter av mörkt kött, eller till lagrade hårdostar.","Kryddig, utvecklad smak med fatkaraktär, inslag av romrussin, kryddnejlika, choklad, pinjenötter, vanilj och pomerans.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/amarone-della-valpolicella-classico-274002,https://product-cdn.systembolaget.se/productimages/1023035/1023035,
"Dow's, Dow's",Symington Family Estates,,20.0,750.0,229.0,Portugal,Douro,Porto,Aperitif & Dessert,Portvin,"Serveras vid 16-18°C till desserter, gärna innehållande nötter eller choklad.","Nyanserad, söt, mogen smak med inslag av torkade dadlar, hasselnötter, fikon, pomerans och kanel.",0.0%,75.0%,0.0%,66.66666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/dow's-839601,https://product-cdn.systembolaget.se/productimages/24407825/24407825,
"Zola, Zola",Du Toitskloof Cellar,2020,13.0,3000.0,199.0,Sydafrika,Western Cape,,Vitt vin,Friskt & Fruktigt,Serveras vid cirka 8°C till rätter av fisk eller skaldjur eller till sallader.,"Mycket fruktig, ungdomlig smak med inslag av fat, päron, persika, färska örter, lime och vanilj.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/zola-254908,https://product-cdn.systembolaget.se/productimages/1014285/1014285,Chenin blanc---Chardonnay---Sauvignon blanc
"Côtes-du-Rhône, Côtes-du-Rhône",Maison Bouachon,2019,14.0,750.0,120.0,Frankrike,Rhonedalen,Côtes du Rhône,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Kryddig smak med inslag av fat, björnbär, blåbär, viol, lagerblad, svartpeppar och lakrits.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/côtes-du-rhône-7260001,https://product-cdn.systembolaget.se/productimages/1183780/1183780,Grenache---Syrah---Mourvèdre
"Les Hauts de Granget, Les Hauts de Granget",Union de Producteurs de Saint-Émilion,2015,13.5,750.0,189.0,Frankrike,Bordeaux,Saint-Emilion,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Fruktig, nyanserad smak med karaktär av rostade ekfat, inslag av plommon, svarta vinbär, kakao, tobak, kaffe och ceder.",0.0%,0.0%,83.33333333333334%,75.0%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/les-hauts-de-granget-381401,https://product-cdn.systembolaget.se/productimages/335819/335819,Merlot---Cabernet franc---Cabernet sauvignon
"Pouilly-Fuissé, Pouilly-Fuissé",Maison Jean Loron,2018,13.0,750.0,219.0,Frankrike,Bourgogne,Mâconnais,Vitt vin,Fylligt & Smakrikt,Serveras vid 8-10°C till grillade eller stekta fiskrätter eller till ljust kött.,"Fruktig, nyanserad, mycket frisk smak med rostad fatkaraktär, inslag av gula äpplen, mineral, hasselnötter, kardemumma, smör, ananas och citrus.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/pouilly-fuissé-248401,https://product-cdn.systembolaget.se/productimages/24304683/24304683,Chardonnay
"Pegasus Bay, Pegasus Bay",Pegasus Bay,2017,14.0,750.0,189.0,Nya Zeeland,Canterbury,Waipara,Vitt vin,Druvigt & Blommigt,"Serveras vid 8-10°C till kryddstarka vegetariska rätter, eller till heta rätter av fisk och skaldjur, gärna med asiatiska inslag.","Druvig, nyanserad smak med sötma, inslag av gula päron, petroleum, aprikos, honung, mandelblommor och pomerans.",0.0%,50.0%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/pegasus-bay-9216501,https://product-cdn.systembolaget.se/productimages/18644298/18644298,Riesling
"Menada, Menada",Domaine Menada,2019,13.0,3000.0,169.0,Bulgarien,Trakien,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Mycket fruktig smak med inslag av fat, svarta vinbär, blåbär, örter och lakrits.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/menada-260208,https://product-cdn.systembolaget.se/productimages/1152052/1152052,Cabernet sauvignon---Cabernet franc---Merlot
"HandCraft, HandCraft",Delicato,2019,10.0,3000.0,219.0,USA,Kalifornien,,Rosévin,Fruktigt & Smakrikt,"Serveras vid cirka 8°C till rätter av kyckling eller fläskkött, gärna med asiatiska inslag eller som sällskapsdryck.","Fruktig smak med sötma, inslag av jordgubbar, vit persika och granatäpple.",0.0%,50.0%,66.66666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/handcraft-625808,https://product-cdn.systembolaget.se/productimages/735205/735205,Zinfandel
"McPherson, McPherson",McPherson Wines,2019,13.5,375.0,49.0,Australien,South Eastern Australia,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till grillade rätter av fisk och skaldjur.,"Fruktig smak med inslag av fat, gula äpplen, persika, örter och citrusskal.",0.0%,16.666666666666664%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/mcpherson-1644502,https://product-cdn.systembolaget.se/productimages/345774/345774,Chardonnay
"Foot of Africa, Foot of Africa",Kleine Zalze,2020,13.0,3000.0,229.0,Sydafrika,Western Cape,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk eller skaldjur.,"Fruktig, något aromatisk, mycket frisk smak med inslag av päron, svartvinbärsblad, gröna äpplen, kiwi och citrusskal.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/foot-of-africa-266108,https://product-cdn.systembolaget.se/productimages/4164424/4164424,Chardonnay---Chenin blanc---Sauvignon blanc
"P.Lex, P.Lex",Cantina Terre del Barolo,2016,14.0,750.0,139.0,Italien,Piemonte,Langhe,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Kryddig, nyanserad smak med fatkaraktär, inslag av torkade körsbär, ceder, kaffe, pomerans, nougat och nypon.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/p.lex-7489001,https://product-cdn.systembolaget.se/productimages/21095550/21095550,Nebbiolo
"Dal Zotto, Dal Zotto",Dal Zotto Wines,2018,14.1,750.0,179.0,Australien,Victoria,North East Victoria,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Fruktig, något utvecklad smak med inslag av fat, mogna jordgubbar, salvia, körsbär, pomerans, kanel, hallon och choklad.",0.0%,0.0%,75.0%,66.66666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/dal-zotto-9127101,https://sb-product-media-prod.azureedge.net/productimages/24486336/24486336,Sangiovese
"Zolo Black, Zolo Black",Fincas Patagonicas,2015,14.5,750.0,279.0,Argentina,Cuyo,Mendoza,Rött vin,Stramt & Nyanserat,"Serveras vid cirka 18°C till smakrika, gärna grillade rätter av mörkt kött.","Nyanserad, fruktig smak med fatkaraktär, inslag av mörka körsbär, kakao, blåbär, viol, plommon, ceder, svartpeppar och vanilj.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/zolo-black-276101,https://sb-product-media-prod.azureedge.net/productimages/24435467/24435467,Malbec
"Graf Von Weyher, Graf Von Weyher",Graf Von Weyher,2019,12.5,750.0,119.0,Tyskland,Pfalz,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C som till rätter av fisk och skaldjur.,"Aromatisk, fruktig, mycket frisk smak med inslag av krusbär, svartvinbärsblad, päron, mineral, kiwi och lime.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/graf-von-weyher-219001,https://sb-product-media-prod.azureedge.net/productimages/24452941/24452941,Sauvignon blanc
"Crasto Superior White, Crasto Superior White",Quinta do Crasto,2018,12.5,750.0,149.0,Portugal,Douro,,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till smakrika rätter av fisk, till ljust kött, eller till lättare rätter av lammkött.","Fruktig, nyanserad, mycket frisk smak med fatkaraktär, inslag av gula äpplen, kardemumma, nektarin, macadamianötter och lime.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/crasto-superior-white-246701,https://sb-product-media-prod.azureedge.net/productimages/24441789/24441789,Viosinho---Verdelho
"Zenato Amarone, Zenato Amarone",Zenato,2015,16.5,750.0,399.0,Italien,Venetien,Valpolicella,Rött vin,Kryddigt & Mustigt,Serveras vid cirka 18°C till vällagrade hårdostar eller till smakrika rätter av mörkt kött.,"Kryddig, utvecklad smak med inslag av fat, romrussin, torkade körsbär, choklad, nötter, lakrits, kanel och tobak.",0.0%,0.0%,75.0%,91.66666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/zenato-amarone-3214501,https://product-cdn.systembolaget.se/productimages/51540/51540,Corvina---Oselata---Croatina---Rondinella
"Barolo, Barolo",Fontanafredda,2015,13.5,375.0,179.0,Italien,Piemonte,Barolo,Rött vin,Stramt & Nyanserat,Serveras vid cirka 18°C till rätter av mörkt kött.,"Kryddig, något utvecklad smak med fatkaraktär, inslag av torkade körsbär, nougat, nypon, rosor, kakao och pomerans.",0.0%,0.0%,83.33333333333334%,66.66666666666666%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/barolo-7360402,https://product-cdn.systembolaget.se/productimages/968735/968735,Nebbiolo
"Steinschaden, Steinschaden",Steinschaden,2018,12.5,750.0,84.0,Österrike,Niederösterreich,Kamptal,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk eller ljust kött.,"Nyanserad, fruktig, mycket frisk smak med inslag av päron, honungsmelon, lime, persika och vitpeppar.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/steinschaden-432001,https://product-cdn.systembolaget.se/productimages/855484/855484,Grüner veltliner
"Château Belgrave, Château Belgrave",Vins et Vignobles Dourthe,2012,13.0,750.0,389.0,Frankrike,Bordeaux,Haut-Médoc,Rött vin,Stramt & Nyanserat,"Serveras vid cirka 18°C till rätter av lamm-, nöt- eller viltkött.","Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, plommon, ceder, kakao och lakrits.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/château-belgrave-392501,https://product-cdn.systembolaget.se/productimages/241603/241603,Cabernet sauvignon---Merlot---Petit verdot
"Vigno, Vigno",Garage Wine,2017,14.0,750.0,229.0,Chile,Valle Central,Maule,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av mörkt kött.,"Nyanserad, fruktig smak med tydlig fatkaraktär, inslag av svarta vinbär, plommon, lakrits, timjan, mörk choklad och skogshallon.",0.0%,0.0%,83.33333333333334%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/vigno-242901,https://product-cdn.systembolaget.se/productimages/12946273/12946273,Mourvèdre---Carignan
"Laccento, Laccento",Società Agricola Montalbera,2019,14.5,750.0,240.0,Italien,Piemonte,Ruchè di Castagnole Monferrato,Rött vin,Mjukt & Bärigt,Serveras vid 16°C till rätter av ljust kött eller till vegetariska rätter.,"Fruktig smak med inslag av körsbär, mogna jordgubbar, rosor, färska örter och hallon.",0.0%,0.0%,83.33333333333334%,41.66666666666667%,41.66666666666667%,https://www.systembolaget.se/produkt/vin/laccento-7272201,https://product-cdn.systembolaget.se/productimages/732746/732746,Ruché
"Stark-Condé Round Mountain, Stark-Condé Round Mountain",Stark-Condé Wines,2019,13.0,750.0,169.0,Sydafrika,Western Cape,Coastal Region,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk eller fågel.,"Fruktig, något aromatisk, nyanserad, mycket frisk smak med fatkaraktär, inslag av passionsfrukt, päron, nässlor, persika, citron och nötter.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/stark-condé-round-mountain-9017701,https://product-cdn.systembolaget.se/productimages/24506445/24506445,Sauvignon blanc
"CARM, CARM",CARM - Casa Agricola Roboredo Madeira SA,2017,13.5,750.0,99.0,Portugal,Douro,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Fruktig, nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, lavendel, timjan, plommon, choklad och vanilj.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/carm-234701,https://product-cdn.systembolaget.se/productimages/17855783/17855783,Touriga nacional---Tinta roriz---Touriga franca
"Masi Campofiorin, Masi Campofiorin",Masi,2017,13.0,1500.0,269.0,Italien,Venetien,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, korinter, choklad, salvia, vanilj och lakrits.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/masi-campofiorin-512306,https://product-cdn.systembolaget.se/productimages/20299/20299,Corvina---Rondinella---Molinara
"Masi Campofiorin, Masi Campofiorin",Masi,2017,13.0,1500.0,269.0,Italien,Venetien,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, korinter, choklad, salvia, vanilj och lakrits.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/masi-campofiorin-512306,https://product-cdn.systembolaget.se/productimages/20299/20299,Corvina---Rondinella---Molinara
"Marlborough Estate, Marlborough Estate",Marlborough Valley Cellars,2019,9.5,750.0,99.0,Nya Zeeland,Marlborough,,Rosévin,Friskt & Bärigt,"Serveras vid cirka 8°C som sällskapsvin, till fisk- och kycklingrätter eller sallader.","Aromatisk, mycket frisk smak med inslag av krusbär, röda vinbär, persika, blodgrapefrukt och färska örter.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/marlborough-estate-602601,https://product-cdn.systembolaget.se/productimages/707024/707024,Sauvignon blanc---Malbec
"Echo Falls, Echo Falls",Accolade Wines,,8.5,1500.0,99.0,Storbritannien,,,Aperitif & Dessert,Smaksatta viner & fruktviner,Serveras kyld som sällskapsdryck.,"Mycket fruktig, ungdomlig, söt smak med tydlig karaktär av mango, inslag av persika, apelsin och honung.",0.0%,66.66666666666666%,0.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/echo-falls-7908407,https://product-cdn.systembolaget.se/productimages/1184690/1184690,
"Nespolino, Nespolino",Poderi dal Nespoli,2019,13.0,750.0,89.0,Italien,Emilia-Romagna,,Rött vin,Kryddigt & Mustigt,Serveras vid 16-18°C till rätter av fläsk- eller lammkött.,"Kryddig smak med inslag av fat, mörka körsbär, kryddnejlika, blåbär, muskot och lakrits.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/nespolino-7412801,https://product-cdn.systembolaget.se/productimages/10671804/10671804,Sangiovese
"Kopke, Kopke",Kopke,,19.5,750.0,129.0,Portugal,Douro,Porto,Aperitif & Dessert,Portvin,Serveras vid 16-18°C till desserter eller lagrade ostar.,"Fruktig, söt smak med inslag av blåbär, svarta vinbär och muskot.",0.0%,75.0%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/kopke-804801,https://product-cdn.systembolaget.se/productimages/4133/4133,
"Castillo Manzano, Castillo Manzano",Enjoy Wine & Spirits,2018,12.5,3000.0,165.0,Spanien,Kastilien-La Mancha,VdlT Castilla,Rött vin,Kryddigt & Mustigt," Serveras vid cirka 18°C till smakrika, gärna grillade rätter av lamm- eller nötkött.","Kryddig smak med inslag av fat, mörka körsbär, björnbär, svartpeppar, vanilj och örter.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/castillo-manzano-371308,https://product-cdn.systembolaget.se/productimages/11559223/11559223,Petit verdot---Shiraz---Tempranillo
"Ried Steinsetz Grüner Veltliner, Ried Steinsetz Grüner Veltliner",Schloss Gobelsburg,2019,12.5,750.0,199.0,Österrike,Niederösterreich,Kamptal,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till vegetariska rätter, till rätter av fisk och kyckling, eller till inte alltför kraftiga rätter av fläskkött.","Nyanserad, mycket fruktig smak med inslag av gula päron, vitpeppar, galiamelon, färska örter, nektarin och apelsin.",0.0%,8.333333333333332%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/ried-steinsetz-grüner-veltliner-9587001,https://product-cdn.systembolaget.se/productimages/24354754/24354754,Grüner veltliner
"Il Segreto, Il Segreto",Poggio Fiore,2017,13.5,750.0,109.0,Italien,Marche,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- eller nötkött.,"Fruktig, något kryddig smak med rostad fatkaraktär, inslag av mörka körsbär, choklad, plommon, kaffe, kanel och vanilj.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/il-segreto-7368401,https://product-cdn.systembolaget.se/productimages/3992170/3992170,Sangiovese
"Vintry's Blend of Oloroso, Vintry's Blend of Oloroso",José Estevez,,18.5,750.0,109.0,Spanien,Andalusien,Jerez,Aperitif & Dessert,Sherry & Montilla,Serveras sval som aperitif.,"Nötig smak med sötma, inslag av farinsocker, torkade dadlar och kakao.",0.0%,50.0%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/vintry's-blend-of-oloroso-828201,https://product-cdn.systembolaget.se/productimages/4207/4207,
"Symbiose, Symbiose",Pol Cochet,,12.0,750.0,349.0,Frankrike,Champagne,,Mousserande vin,Torrt vitt,Serveras vid 8-10°C som aperitif eller till rätter av fisk eller ljust kött.,"Utvecklad, nyanserad smak med inslag av röda äpplen, mandelmassa, apelsin, persika, smör och rostat bröd.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/symbiose-752101,https://product-cdn.systembolaget.se/productimages/8003962/8003962,Pinot noir---Chardonnay
"Aphros Loureiro, Aphros Loureiro","Casal Do Paço Padreiro - Sociedade Vitivinícola, Lda",2019,11.5,750.0,129.0,Portugal,Vinho Verde,,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk eller skaldjur, eller till vegetariska rätter.","Nyanserad, fruktig, mycket frisk smak med inslag av gula päron, persika, mineral, krusbär och citrus.",0.0%,8.333333333333332%,83.33333333333334%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/aphros-loureiro-393201,https://product-cdn.systembolaget.se/productimages/17828842/17828842,Loureiro
"Perlerose, Perlerose",Pernod Ricard,,12.5,750.0,69.0,Spanien,,,Rosévin,Friskt & Bärigt,"Serveras vid cirka 8°C som sällskapsdryck, eller till sallader.","Bärig, pärlande smak med inslag av smultron, hallon, vattenmelon och blodapelsin.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/perlerose-297501,https://product-cdn.systembolaget.se/productimages/2267/2267,
"JP Chenet, JP Chenet",Les Grands Chais de France,,10.5,750.0,79.0,Frankrike,,,Mousserande vin,Halvtorrt vitt,Serveras vid 6-8°C som sällskapsvin.,"Halvtorr, fruktig smak med inslag av päron, honungsmelon och pomelo.",0.0%,50.0%,75.0%,41.66666666666667%,0.0%,https://www.systembolaget.se/produkt/vin/jp-chenet-7076501,https://product-cdn.systembolaget.se/productimages/879935/879935,
"Mont-Redon, Mont-Redon",Château Mont-Redon,2019,13.5,750.0,109.0,Frankrike,Rhonedalen,Côtes du Rhône,Vitt vin,Fylligt & Smakrikt,"Serveras vid 8-10°C till smakrika, gärna grillade rätter av fisk eller till ljust kött.","Mycket fruktig smak med inslag av vit persika, gula päron, nätmelon, kryddor och apelsinskal.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/mont-redon-281301,https://product-cdn.systembolaget.se/productimages/733227/733227,Grenache blanc---Viognier
"Louis Roederer, Louis Roederer",Louis Roederer,2014,12.0,750.0,629.0,Frankrike,Champagne,,Mousserande vin,Rosé,Serveras vid 8-10°C som aperitif eller till rätter av fisk och skaldjur.,"Nyanserad, utvecklad, mycket frisk smak med inslag av torkade aprikoser, blodapelsin, röda äpplen, jordgubbar, nötter och nougat.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/louis-roederer-7722601,https://product-cdn.systembolaget.se/productimages/990260/990260,
"Kvaszinger Hárslevelü, Kvaszinger Hárslevelü",Kvaszinger Borászat Kft.,2019,13.0,750.0,99.0,Ungern,Tokaj,,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk och skaldjur.,"Fruktig, något aromatisk smak med inslag av päron, örter, honungsmelon, persika och citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/kvaszinger-hárslevelü-259801,https://product-cdn.systembolaget.se/productimages/24424415/24424415,
"Fresh & Cool, Fresh & Cool",Molnár Borház Pincészet,2019,12.0,750.0,69.0,Ungern,North Transdanubia,Mór,Vitt vin,Friskt & Fruktigt,"Serveras vid 8-10°C till rätter av fisk och skaldjur, eller som sällskapsdryck.","Fruktig, ungdomlig smak med inslag av päron, fläder, persika och honungsmelon.",0.0%,16.666666666666664%,66.66666666666666%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/fresh-&-cool-680901,https://product-cdn.systembolaget.se/productimages/21379596/21379596,Irsai olivér---Ezerjó
"Gardo Morris, Gardo Morris",Gardo Morris Wines,2017,12.5,375.0,109.0,Nya Zeeland,Canterbury,Waipara,Vitt vin,Sött,"Serveras vid 8-10°C till smakrika ostar, gärna kittostar och inte alltför söta bärdesserter.","Nyanserad, mycket frisk, söt smak med inslag av apelsinmarmelad, honung, torkade aprikoser och citrus.",0.0%,75.0%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/gardo-morris-212502,https://product-cdn.systembolaget.se/productimages/774322/774322,Riesling
"Jacob's Creek Barossa, Jacob's Creek Barossa",Jacob's Creek Wines,2018,14.0,1500.0,189.0,Australien,South Australia,Adelaide,Rött vin,Fruktigt & Smakrikt,"Serveras vid 16-18°C till smakrika, gärna grillade rätter av lamm- och nötkött.","Mycket fruktig, nyanserad smak med fatkaraktär, inslag av björnbär, choklad, vanilj, blåbär och kryddnejlika.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/jacob's-creek-barossa-646707,https://product-cdn.systembolaget.se/productimages/927041/927041,Shiraz
"Schloss Gobelsburg, Schloss Gobelsburg",Schloss Gobelsburg,2019,12.0,1500.0,209.0,Österrike,Niederösterreich,,Rosévin,Friskt & Bärigt,"Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller kyckling, eller till sallader.","Bärig, mycket frisk smak med inslag av smultron, röda vinbär, persika, färska örter och blodgrapefrukt.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/schloss-gobelsburg-9401906,https://product-cdn.systembolaget.se/productimages/20792009/20792009,Zweigelt
